condition,L,x0,k,b,flash_shown,stim_jumped,prolific_id
flash_jump,0.61453966617724,502.96036665597313,-0.0220331582960998,0.6597078922888354,1,1,560ec3b0d4ab1e00126fb704
no_flash_jump,0.5436658246274344,494.62679244331156,-0.011515816328910898,0.6971607319906851,0,1,560ec3b0d4ab1e00126fb704
flash_jump,0.4512973742508636,399.70966678570414,-0.009926463329191533,0.7167421587704162,1,1,5cf92c7255e1370001e54adb
no_flash_jump,0.5078284264110359,416.0082807472263,-0.01033846461032209,0.7179465915443023,0,1,5cf92c7255e1370001e54adb
flash_jump,0.4897278061537361,361.43926737080534,-0.019280552508385486,0.4914813371869887,1,1,5ea313491b416808c9eeaa34
no_flash_jump,0.4949142871872538,290.31907196856974,-0.020033983191211857,0.5059855562519086,0,1,5ea313491b416808c9eeaa34
flash_jump,0.651328046612293,694.059884032924,-0.005150165238622264,0.47735704094151465,1,1,5fbf515338073f200f1317cf
no_flash_jump,0.2641959224801829,345.3786706390541,-0.028759948114502207,0.8344660473327847,0,1,5fbf515338073f200f1317cf
flash_jump,0.5601379396703038,278.9131347782977,-1.84571894322686,0.5153591618176586,1,1,5fe3932b8d3c668577f04f13
no_flash_jump,0.6213641942559729,279.3496521620525,-0.018004470971682417,0.5039862978712892,0,1,5fe3932b8d3c668577f04f13
flash_jump,0.5059813139283147,364.6338565915558,-0.09223472496981235,0.46038187392129093,1,1,5ffdd8d1b2325f3c1f6edc6b
no_flash_jump,0.5455100337810631,395.1051629323858,-0.250559869127202,0.4305499095275416,0,1,5ffdd8d1b2325f3c1f6edc6b
flash_jump,0.8167264428519465,745.0414607018007,-0.003071670405828478,0.3087314087512962,1,1,600a4e976b660c1b22959bbb
no_flash_jump,0.19991999583652154,397.23346322824295,-0.03952539482703308,0.7569806996859614,0,1,600a4e976b660c1b22959bbb
flash_jump,0.9691115111106218,543.2502052527057,-0.0034676633664570155,0.3877359067357021,1,1,600c3f7abeaa410d36681bb6
no_flash_jump,0.4978724405150853,411.5509221668136,-0.01116782374435243,0.7597666075646111,0,1,600c3f7abeaa410d36681bb6
flash_jump,0.5324198591559253,417.7233720497655,-0.029592132077954074,0.4786513522166994,1,1,6043f909d14273455e5e7436
no_flash_jump,0.566615487346119,438.0704110985614,-0.031199383889969044,0.45199943076511945,0,1,6043f909d14273455e5e7436
flash_jump,0.668492739496331,294.44449157237307,-0.8818520232366693,0.5497963208818436,1,1,60a37b4e514b606e0a822a0c
no_flash_jump,0.7711452956172464,261.2035096592947,-0.014516469037834483,0.49531113145555217,0,1,60a37b4e514b606e0a822a0c
flash_jump,0.6667561351459478,418.7215813983661,-0.008607602048596927,0.4566672310543307,1,1,60cdae5d942a76a98eba611a
no_flash_jump,0.6677157499106635,428.4142967882286,-0.010949559906440082,0.4937829889180244,0,1,60cdae5d942a76a98eba611a
flash_jump,0.618695343192366,405.4589996226719,-0.0763376056921437,0.4483623377005899,1,1,60d02e9baaeaa06a15ced8bf
no_flash_jump,0.6265786814719041,363.7995277052799,-0.018167663468126826,0.44429652920462187,0,1,60d02e9baaeaa06a15ced8bf
flash_jump,0.5250290556746665,307.92745441986324,-0.7951944117095101,0.5972370336184054,1,1,60ddfb3db6a71ad9ba75e387
no_flash_jump,0.48153227632757517,319.95936349230567,-0.43455868687584676,0.6034479336971386,0,1,60ddfb3db6a71ad9ba75e387
flash_jump,0.43436887818973924,481.4660162019517,-0.06803082900466124,0.6232183798924342,1,1,6113a0193b208bc3c0f4fdfb
no_flash_jump,0.4038094649363038,484.0663844520525,-0.012671069120498294,0.6037378794964571,0,1,6113a0193b208bc3c0f4fdfb
flash_jump,0.6996218273924004,369.9975449597734,-0.032084506379522884,0.494507734710413,1,1,611dfb6abb6863cd8479d99b
no_flash_jump,0.5239636446658286,359.07292048196115,-0.031976620876178585,0.5592517212378819,0,1,611dfb6abb6863cd8479d99b
flash_jump,0.3203749448843922,368.95717155835786,-0.011501709839844321,0.8242610950734216,1,1,6140c6ea5b79d814890d4eae
no_flash_jump,0.35054375186560177,485.6338884155128,-0.024324195464307852,0.7866793296227874,0,1,6140c6ea5b79d814890d4eae
flash_jump,0.40171464836408527,319.9964696569201,-0.01304040796197858,0.627174504108667,1,1,614d985cd9d1b7d65c866eeb
no_flash_jump,0.41047036808608106,259.07645314281416,-0.009052212185159758,0.6217208359781125,0,1,614d985cd9d1b7d65c866eeb
flash_jump,0.4799481146665253,245.86940527464787,-0.009323155673901759,0.790206164700417,1,1,6483228552ced600c53b1922
no_flash_jump,0.44124696470392466,296.63968715318134,-0.008508672891443931,0.8211362859170073,0,1,6483228552ced600c53b1922
